X,Y,Z
-392,832,13612
96,952,16080
-1264,548,15100
-780,1304,15044
-1484,1168,15140
-752,1344,14532
76,1076,14988
-680,1136,15016
-1388,1048,15704
456,852,15152
-2628,788,13592
-540,1220,15140
-620,1148,15260
-4,1036,15180
-724,856,15020
-992,856,14632
160,804,15812
-564,1356,14648
-1076,656,14752
-872,1236,13928
-168,904,16780
-708,980,14580
-1228,912,15072
-224,924,14988
-168,1048,14560
-1756,1216,14164
-1384,1184,15932
-1076,1104,14716
-1208,868,14368
-376,1024,15524
-1328,1072,14284
-1348,776,14868
-1240,932,14868
-824,804,15976
-760,980,15472
-312,836,16092
460,1028,15052
-696,1216,16564
-1060,1032,14684
-248,992,15232
-1780,1000,14180
-36,880,13352
-132,912,14620
-1044,876,14428
-200,828,14064
-1236,1152,15792
20,1132,15324
-108,608,14824
-576,1176,15376
-764,1160,16176
-728,912,16272
36,1036,14972
-236,1180,16280
-752,1180,15356
-1108,1060,15316
-584,916,15456
-732,688,15124
-600,1088,16120
-560,1028,14552
-1004,428,15300
-1120,1220,14792
-692,732,15460
-52,1088,16312
-2336,820,14300
-228,876,14300
-572,1028,16360
-900,824,14916
-1108,1236,15392
132,900,15112
-928,1052,13628
312,1196,15956
-1728,936,14392
-1448,776,14756
-1400,864,14824
-780,860,14288
-252,1020,14900
-596,732,14720
-1220,1008,15196
12,728,15084
-668,1032,16252
-652,1136,14876
-580,1376,15664
-612,960,14980
-1596,1220,13724
116,1188,16556
-224,1052,15024
-496,684,15252
-580,1360,15204
-1668,936,14704
168,1116,15412
-800,900,14628
-952,812,14328
-460,820,15204
-336,1188,15112
-1056,1040,14028
-1292,1048,14896
-888,824,14028
-192,960,14700
-888,948,15560
-716,1100,15756
-1152,1148,15216
-976,1196,15288
-412,1272,16080
472,844,16144
-916,1120,15592
-24,652,15896
-896,1232,14724
-1264,964,15228
-360,1032,14528
-1376,976,14028
-384,1160,14456
-388,712,13852
-640,1044,15612
-784,884,16256
-576,828,15892
-784,676,14052
80,912,15160
-1168,712,14940
40,624,14672
-1180,1060,13912
160,916,16384
-884,784,14320
-840,560,15040
-796,1036,14904
-260,676,15692
-900,708,15360
-1048,1060,14856
-1044,976,15112
-100,1036,13900
-528,836,14732
-860,792,14740
-920,1224,14948
-256,836,16428
-432,1100,15436
-1320,1160,15732
-1640,1320,15388
-2040,1032,14384
-180,1072,15048
-760,1200,15144
-452,1004,15400
-1500,908,13848
-620,760,15320
-1144,1020,13016
-644,1392,14948
-1392,956,14160
-1392,952,15044
-824,788,15220
-1120,844,14188
-1052,1104,15632
-968,896,14684
-1404,816,14688
-1804,1096,15664
-856,512,14764
-1744,968,14388
-732,1140,17188
-568,1040,15820
-1164,992,14580
-1060,1352,15192
-772,720,14596
-356,1308,16440
-396,1376,16192
-1196,1052,14732
-560,704,14604
-324,808,16844
-920,884,13736
-540,1132,15252
-1236,1148,16644
-728,776,14148
-380,1200,16844
-1000,652,14508
-960,888,16492
8,824,14744
-420,692,16348
-76,852,15296
-428,756,16304
-52,1200,16380
-1148,860,15120
-468,1060,16596
-2408,864,14088
-340,880,15224
-408,1312,13888
-976,916,16556
-1564,688,13944
-1044,904,14032
-1088,920,14856
-728,992,15960
-480,836,15208
-484,1088,14296
-1100,876,13404
-616,856,15464
-628,1016,15764
-860,1344,14004
-1252,1072,14304
160,1424,14380
-1000,608,15820
-376,1060,15932
-280,1272,15120
-1204,944,14528
-844,992,15488
-84,736,16024
-352,1232,14936
-1212,672,14808
-1488,1148,14476
-1328,940,14244
-1140,704,15320
-940,852,15096
-188,660,15244
36,1312,14544
-892,856,15212
-800,1000,15460
-2112,1312,14212
-652,1176,14884
-744,816,15044
316,932,16024
-1260,980,15380
-220,748,15944
-808,1088,14344
-676,984,15048
-316,1044,15576
-400,1172,14152
-1336,1076,15332
-1412,644,14436
-664,572,13920
-1052,1288,16576
-588,632,15504
-1680,904,13456
-1440,936,14360
-532,856,15648
-1240,1104,13916
-600,776,15544
-208,928,15704
-776,1104,15416
-112,928,14620
-532,960,13968
-916,992,14804
-1068,808,14964
-804,996,15840
192,1052,15344
-1588,1096,15300
-296,788,15960
-792,948,16040
-1024,952,15248
-388,680,13784
-1084,1232,15488
-1088,1036,14776
-1476,860,14332
-608,708,15996
-1380,660,14880
-356,1004,16112
-1496,872,15072
-840,836,15552
-612,984,16520
212,836,14924
-148,924,15076
-780,1036,16324
-1644,852,15164
28,996,15344
-1684,476,14796
-696,816,15796
-484,588,14148
-576,932,14432
648,628,15604
0,948,15804
-212,892,15740
348,1084,15652
-412,1140,14772
-848,1164,14244
-1356,828,13548
-1360,1016,14928
-272,900,14816
-452,964,15704
-1152,776,14808
-268,1044,13832
-940,864,15704
-1180,664,15116
-1092,828,15640
-180,716,14620
-1276,876,15652
-1136,604,15056
-848,1144,15608
-740,876,13992
-764,756,14016
-984,1180,14800
-436,1088,16732
-576,604,15136
184,1176,15520
-980,1352,14644
-652,1012,13936
-144,828,15864
-32,752,15340
-436,1020,14776
-728,1120,14916
-412,812,15712
-240,784,14788
-544,1304,14864
-744,904,15448
124,1264,14612
88,988,15000
-1036,984,14592
-748,1060,15272
284,900,13296
-1228,868,14240
332,896,15372
-576,1068,15936
-524,1032,16252
-128,992,15288
-612,1152,14696
-692,888,15124
-304,672,14236
-1004,764,15304
-1072,1216,15732
-920,624,16976
-132,808,16232
-228,1184,15540
-44,888,15184
-1012,884,14932
-748,672,14536
-944,796,16052
-440,1036,16084
-456,864,14284
-116,1012,15260
-156,880,14144
-1352,804,15436
-1120,720,16676
536,1036,16228
-252,980,15676
-12,1136,14632
-328,848,13800
-52,708,16180
-648,912,15604
-424,972,14888
-120,1260,15672
-800,876,15036
-156,856,15232
-376,724,15012
20,948,14744
-80,916,15988
-912,1212,14804
-484,872,14436
48,816,16208
-124,896,14316
-504,904,14320
-1428,552,13984
-1200,944,15016
-584,544,14584
-856,1060,14952
-424,812,15552
276,912,16548
152,664,14708
-280,972,13988
-32,736,14220
-932,700,15412
-100,484,14108
-904,1024,15440
-252,1232,16416
-304,972,14108
-1640,936,15000
32,1064,15120
-684,1172,15000
-472,600,15420
-912,948,14424
-1104,988,13444
-924,932,15204
-572,1036,15800
-784,876,15428
-436,888,16492
-332,1420,15376
-284,760,15348
-1068,724,14928
-1532,408,14400
-908,920,14780
-224,892,15076
-436,796,16244
-816,672,15508
-668,684,15232
-608,1184,16968
36,856,14616
212,1020,15080
-456,764,14308
-544,872,13568
-96,948,15500
-588,1152,15224
-1312,1060,13632
564,912,15276
20,960,15668
-1176,780,14376
-784,812,15120
-880,508,14944
28,960,14920
-612,996,15660
-256,840,16348
-1016,1024,14932
64,1000,14552
-972,688,14528
-540,724,14684
72,876,15692
100,752,15036
-108,1008,15944
-1664,952,15040
376,800,13512
-540,640,14568
-756,608,16216
-540,540,14800
-420,580,15644
-1100,760,15628
120,932,15500
-944,1180,15192
-492,908,15448
-124,1060,14144
-1400,1228,14256
-652,1132,15076
-116,912,14916
-420,624,14940
-448,912,15204
-760,712,14568
-36,832,15432
-624,792,14116
-1112,884,15720
-488,908,14308
-1240,596,14796
-960,532,14236
-716,700,15360
-564,936,15220
-148,892,13732
-864,1020,15452
-228,1304,15056
-16,1140,14276
-316,988,15964
-904,772,13960
-624,720,14748
-1100,992,13652
-872,820,13512
-436,980,15620
0,840,15244
-1288,608,13620
-28,876,14472
-516,1056,14644
-1200,1040,14068
-1072,660,14940
-1276,964,16008
-1572,1272,15472
240,980,15388
-416,756,14368
-1000,800,14864
-1280,936,14728
-940,1004,15072
-520,792,15748
-588,1172,15428
-284,936,15160
-608,920,15340
-720,1092,15088
-144,1136,15684
-632,724,14804
-752,940,14924
-312,736,14856
-952,1140,15448
-608,1100,14768
-720,664,14496
-552,740,15556
-1096,984,14788
-176,1008,15280
-988,932,14868
-488,892,14916
-792,892,15076
-700,808,15140
-772,984,14896
-72,824,14668
-136,656,14980
-692,668,15320
-756,1092,15436
-976,768,14900
-1176,1036,15776
-1572,852,14792
-68,1164,15392
-1116,996,15712
-252,1412,14532
-972,848,15284
-688,900,14612
-280,716,14508
-720,1064,14760
-820,1252,15132
-888,1120,14900
-956,1232,15804
-404,964,15524
-408,760,14060
-1148,664,14120
-1056,952,15044
-1280,908,14304
-844,1076,14148
-1040,1188,14364
-1108,916,15220
-1588,912,14936
-1248,1188,15032
-1420,1064,14564
484,1304,16932
-1484,876,14776
64,1496,16052
-904,976,12768
-1168,1052,14648
-604,904,14052
-20,1388,14928
-828,816,13592
-1132,1216,14576
-1444,684,14188
256,1144,15976
-1164,1020,15192
-360,696,14660
-1032,848,15276
-712,1048,15652
-968,728,14608
-1268,672,15688
-696,776,15772
-1292,1152,16020
-1064,988,15316
-1248,884,14520
-1580,864,15788
-492,1036,15892
-1504,748,15412
-596,980,17044
120,1164,15248
-180,1144,14576
-1564,988,14792
-976,944,15576
-488,872,15360
-648,512,13868
-1300,944,16464
-660,668,14596
-100,768,14892
-544,504,14352
-808,780,15052
-44,536,14068
172,1268,14876
-160,820,13676
-32,584,15800
-124,824,13988
-1348,860,14432
-964,944,14432
-308,1000,14328
-648,736,14624
-1368,720,14296
-1236,1120,15276
32,752,13596
-1812,656,13820
-1120,776,14568
-1392,1048,14468
-928,984,15056
-984,756,14084
-2592,972,14580
-2324,1048,14648
-1036,1000,14792
-892,620,14036
-796,1320,14672
-1836,616,12172
-540,756,14264
-1296,836,15172
-1244,996,16076
-200,1228,16692
-676,920,14552
-1308,616,15684
292,1192,15568
-492,1060,14788
-860,836,15532
84,676,14192
-1388,932,15108
-1368,884,15012
-264,1244,15220
-1704,1116,15308
-468,812,16064
-476,564,14088
-976,688,14840
-536,776,13220
-1832,648,13928
-900,1400,14708
528,1108,14732
-1468,520,14476
232,1160,15224
-796,588,13876
-848,848,14740
-688,816,14848
480,1004,15768
-152,808,14568
-496,748,13712
-280,1088,16252
-776,536,14924
76,1244,14496
-296,700,13596
-696,836,13776
204,536,14668
-1496,1268,15904
-2288,420,14404
-456,1280,15316
-964,1056,15236
-456,964,15204
-1016,724,15604
-228,836,14704
-756,1016,15372
-1000,1464,14692
-280,1188,14260
-1168,796,15288
-48,1132,16236
-468,704,14832
-1792,760,15860
-176,836,13488
-1680,740,14048
-208,932,13648
-1084,400,14612
-1540,476,14212
-452,1152,14576
-364,796,14596
-1332,556,13640
-136,796,12956
-1652,760,14768
-348,652,15976
-1328,1092,15368
188,620,13608
384,992,13320
-1624,1000,14716
-1244,944,14528
-988,520,14488
-432,848,16104
-1092,852,14952
-68,868,15240
416,1148,16172
484,976,14440
-284,1180,14872
-732,992,14500
-544,224,13528
108,668,14492
160,908,14272
-212,904,14488
-656,640,14436
-536,600,15300
-1572,992,15296
-40,1232,15064
-828,1120,14648
656,688,14116
-2588,688,13484
-1484,432,15660
-1460,1040,14664
-1468,784,16972
-1132,920,14196
-1156,556,15584
-696,852,14216
-864,664,14408
-800,1208,15348
-44,676,14424
-632,684,15196
-204,592,13744
-924,832,16872
584,1124,12836
-576,696,15588
-352,608,14828
-504,748,13804
-1496,768,12740
-792,940,15412
212,496,13864
-688,740,14396
-1444,912,16944
80,888,14912
32,408,15132
-1284,784,14700
408,1232,16240
468,720,15076
-1596,988,15324
-1148,1000,15224
-576,1028,14400
448,584,15468
880,696,14844
368,1036,16048
-68,792,14964
-2116,776,15576
60,776,15048
-1928,952,14492
-472,708,14356
-708,976,14912
-1304,856,14744
-612,744,16288
-944,516,13472
-1056,716,15104
-972,708,15596
-576,1048,14516
400,848,15028
1448,1248,13756
-972,1044,16464
132,820,14264
-4,916,13140
28,740,14984
-852,388,13724
480,900,15216
-856,624,14004
-720,736,14580
-2532,780,15576
-1428,272,14228
-1788,316,16060
-1104,756,14560
-1132,656,16016
400,608,13720
-680,1048,15696
-1800,884,12260
4,1176,17732
-1336,536,12680
-1516,1264,14412
-316,788,15812
-1404,812,14440
-600,1296,14860
-1620,1160,16700
-1680,1076,15440
1368,28,14748
1080,264,15268
-480,1212,13164
-1208,456,13528
-688,776,14368
-712,308,14160
-432,912,16360
-1632,1428,15600
-1176,1260,13080
-144,852,16312
-308,1108,14780
-2200,808,15308
316,468,14384
-476,112,15176
-1172,840,14656
-2620,960,12456
-1084,720,15228
96,228,14088
-2212,296,13840
48,808,15204
488,1112,15252
-140,444,14560
160,1260,15860
-2004,808,15492
-772,868,14488
-844,724,14600
-692,240,13632
-2880,660,16436
424,836,15420
-544,896,16172
376,668,13232
344,744,14560
-1356,848,14808
-2052,56,13760
-564,736,15748
-532,1812,16256
-3176,980,14584
-260,872,13496
-924,88,14808
-340,872,13640
-636,704,15372
-556,780,13756
676,1016,14792
-1496,1360,14520
-756,704,13732
184,592,16148
-1188,928,14336
-1500,624,15996
816,752,16316
-904,956,14432
-1728,208,14984
-2168,876,14364
-1504,664,14384
-1380,1176,15908
-1588,1196,15400
-1172,772,13940
-284,984,15944
-664,564,11944
920,948,15636
-216,708,13144
-2044,768,14796
-772,1236,16464
-1944,976,14812
-940,1116,15572
152,356,16056
-928,812,15500
-1044,636,13468
224,420,13544
-84,976,14688
-2196,812,14660
-1504,996,15216
684,660,15628
648,1276,14908
-708,908,15640
-2208,-200,16068
1444,920,15108
-936,1060,14332
-1332,1068,14976
160,900,14000
-884,188,13644
-1628,764,14404
-696,880,15444
-2016,836,14228
-948,1432,18340
-3036,1000,14688
-1544,1328,15264
1684,1012,15536
-1568,460,15872
-3024,352,15712
-564,364,14812
-572,1124,13820
424,700,16048
-500,968,14428
-320,784,14636
-340,332,14788
-1632,1028,14548
-2108,680,13356
-1808,1004,14908
-348,580,17028
2596,504,12524
-132,600,15556
812,1136,13560
-560,1476,14260
-1444,920,13908
-4856,152,13292
-4,1032,15024
-576,416,14724
360,920,15760
-1380,764,14416
4,1128,15384
1528,340,15892
-760,752,12568
-484,136,13544
-2224,1168,13756
-348,1148,15316
-180,12,14836
-800,108,15704
-1144,776,14432
-1328,412,15660
-2372,1244,12252
-836,936,13620
-2420,344,15608
-844,1128,14924
880,692,15784
924,896,16004
-492,-192,13928
-688,636,14788
-912,1436,15984
-1380,1284,14520
132,884,13148
-236,1304,16088
772,976,13332
-344,904,13676
-2468,904,13260
-100,720,15740
-1232,620,13996
-44,952,14552
-604,832,15212
-260,1212,14668
-280,952,15728
-1952,1084,15088
764,788,15616
-1492,780,15272
-1140,884,14804
-1584,1044,11776
-672,636,16348
-1348,868,15284
-296,1028,15096
-460,800,14940
204,464,14128
-616,1300,13868
740,1556,15276
-836,692,14460
1360,572,16216
-348,532,13832
464,440,15164
-1164,700,14864
716,184,14924
-360,532,14128
-1260,468,14216
-508,1500,14240
-1100,1140,13940
-1296,756,14104
-884,1104,16112
-804,1048,15284
-264,928,13824
-1968,380,16072
-148,608,15724
-520,232,14528
-844,1168,15496
-424,480,15828
-1136,652,15932
-8,808,14048
-1136,672,14248
-2624,1236,15452
-1120,1452,14704
-2420,588,13168
280,656,15684
-1448,1148,14588
-2188,560,15764
-1784,792,16432
-1216,152,15680
-1480,516,15524
-2480,1044,14552
-1820,672,14840
-2944,852,12804
-172,520,14576
212,700,14684
-836,488,14748
-1504,1024,14180
-1216,988,15008
-72,556,14392
-1784,1352,15288
-2572,1176,16316
-628,1360,16492
1040,1556,14892
-2948,336,13184
-1936,676,14980
56,748,15584
-712,760,14132
-1000,1516,13692
712,584,13448
-1080,408,15556
-772,784,15520
248,572,16200
-224,892,14120
-1344,668,15432
-2232,656,13784
-1576,616,15756
-1684,428,14344
384,8,15028
-2336,904,14708
-444,1188,15196
-1028,984,15416
-1016,224,12920
-524,1076,16024
-1680,176,16152
-2368,392,13316
-792,676,14636
-1048,340,14248
-1096,924,13800
-892,1004,14776
-860,500,14248
-1672,540,14736
-1080,908,12928
-920,908,16204
-1040,440,14340
-2976,340,14904
-1144,420,15472
32,1240,16468
-2108,396,12640
-2340,768,13100
324,608,14544
672,372,13192
-1120,96,12576
-772,1080,14152
-1364,936,16228
-1256,760,14352
128,1136,13076
-2044,420,13608
-1004,1092,14580
-2480,688,12560
-208,668,11228
-292,-328,15312
-760,588,14708
400,624,14360
-2724,1032,14448
-1012,984,15428
-44,1180,17260
-1852,660,14188
-1348,412,15252
-1080,1052,14924
-532,872,15156
-284,632,13792
-1268,976,13424
-2068,648,13472
-1536,572,13872
-352,1496,14424
-88,492,13728
-172,964,16428
-1596,568,13592
404,396,14308
624,1092,15528
284,776,13080
-1240,1316,15632
-428,1056,16080
-2140,1016,15508
1492,668,13608
-500,596,13976
-1476,776,13048
-892,488,15096
112,752,12096
-1100,380,13280
-3032,140,15304
-1828,792,14568
-1712,1272,14460
220,556,16504
-236,1040,15248
-1520,1320,13484
-1196,780,12788
-952,772,15772
-2996,484,14024
-1564,308,14448
-2100,508,16220
-1168,840,14816
16,696,12572
-1840,480,14984
468,756,17236
-232,672,15788
-760,1164,13032
-872,724,12852
760,532,14048
1472,32,14904
-1840,132,13372
1236,776,14552
768,144,14312
-464,592,13852
-912,692,15000
-1304,1124,15284
968,568,14784
1348,688,14576
1064,652,12736
-1088,372,14808
-644,732,14704
-1672,340,13072
-768,848,14960
544,716,13480
-1336,616,13328
-2408,804,15532
-48,1120,13684
1308,692,14676
-3332,892,16004
-456,1148,14728
-752,608,15996
-1532,164,13516
-432,1116,16468
-2812,552,15108
1004,176,11952
-76,960,14892
-3052,260,13128
700,320,15020
-1972,48,16412
-240,776,15432
772,848,16596
-1464,380,16560
-2944,880,14316
-336,432,15432
836,944,16044
-1304,140,15220
-12,276,14284
-1528,184,14620
-2112,980,17516
-944,392,14912
-2060,1096,13860
-1112,912,14744
-1372,1092,14512
-320,384,15484
-844,932,15980
-524,536,13296
-1828,768,16968
-792,556,16340
-352,452,15100
-804,820,14576
-1232,616,14328
-1020,1280,13916
-1608,356,12664
-1904,748,16432
-1584,144,12324
-732,380,15472
-1916,660,14336
-1076,892,14960
456,856,13496
-1140,1100,13204
-988,720,16132
-2972,924,13996
496,592,15748
-848,336,13728
-664,576,15680
-1072,452,14816
-1344,1188,15312
-1388,900,15812
-68,656,14720
-2152,856,14232
-2124,492,16832
-488,988,13820
200,1216,14288
-1988,1260,17488
-612,748,14940
-316,1028,12420
1428,1008,14640
-244,1004,14768
-1036,400,13944
-684,912,15368
-1004,652,14560
-716,892,16500
724,756,13168
-420,268,12936
-1460,508,13416
-928,992,13900
-4,540,14732
160,672,15620
-1124,720,16000
-340,436,14472
828,-44,13452
-824,708,14712
-852,952,14200
828,948,14616
-924,892,13428
-272,904,13956
-1524,620,15052
-812,572,13408
1660,1012,15884
-1596,220,14464
-1000,580,13592
-716,840,16032
-288,1176,14864
-228,688,14748
-1568,512,13844
-952,976,14544
-652,716,13692
-1968,656,14940
-1004,616,15304
448,684,15956
-728,816,14364
-876,776,14404
-2068,736,15080
-656,912,15016
-628,612,15476
-280,992,15416
-1588,644,14348
-492,380,14304
-1120,676,14760
-1308,956,14680
-968,676,15032
-308,1000,15208
-188,504,13656
-2228,544,14944
-1084,992,14800
-1008,468,14340
-1196,984,15040
-92,752,16020
-1032,460,15264
-816,792,14844
-2228,444,13820
-408,672,13400
-1036,940,14716
-796,876,14792
-812,872,15500
-700,708,15208
-1084,888,14104
-488,1160,15708
-672,380,15720
-1032,836,15296
-104,896,15240
-748,912,14824
-1304,836,14528
-480,708,13132
104,704,14516
-1096,972,14652
-1144,676,13868
-768,788,15088
-536,852,14208
-68,572,14920
-868,704,15104
