X,Y,Z
376,40,15040
648,76,15084
560,176,14892
492,-56,15044
-68,-228,14968
-652,1568,13680
1072,44,15196
724,-408,15376
232,-384,14676
1716,-1264,15916
1052,-672,15628
16,388,15508
552,-96,14840
1044,-1004,15460
-208,104,15024
236,1040,14748
292,168,14712
268,1108,14516
1100,-640,15568
1032,56,15384
1500,-664,15680
-120,896,14596
-504,1168,14576
608,20,14900
-508,264,15044
496,368,14952
172,-396,14672
792,1168,14776
84,-1316,14704
744,-520,15652
-476,280,14376
892,536,15644
252,1128,14772
1024,-112,15360
760,728,15036
-180,216,14484
-96,-356,15028
536,-100,15076
1116,-900,15252
952,-76,15496
388,-256,14976
-268,688,15072
548,-436,15192
-744,1304,14612
804,-120,15176
1328,-1272,15824
60,972,14648
844,-256,15812
232,-252,14292
40,964,14592
1276,-388,15992
1368,-980,15732
204,80,14876
812,548,14972
936,-368,15476
832,320,15032
672,-584,15436
380,-2496,16060
724,-372,15084
292,-344,15348
-716,1156,14260
512,-608,15260
-24,628,14900
-640,996,13816
16,64,13884
360,332,15084
536,-464,14768
-76,712,14468
1288,-1084,15476
1756,-1088,16076
292,-532,15212
112,-976,14576
144,688,14984
-400,-72,14712
1652,-272,15812
1436,-228,16020
1568,-1020,15916
1052,-228,14716
1088,640,14724
632,-652,15436
-1076,1440,13820
-400,-156,14464
4,-60,15004
408,80,14964
1392,-1320,15344
808,124,15312
-248,188,14700
704,-328,15132
96,-332,14820
0,464,15200
1304,-704,15380
360,232,15240
1068,-1172,15160
1972,-1992,16372
-1172,356,14184
1416,436,15692
48,224,14948
-228,100,14412
-284,976,15604
544,1096,14808
-388,408,14500
1908,-1076,15172
1004,-160,15920
900,-920,15240
1756,-344,15272
1176,212,15508
-568,1128,13928
204,568,14964
-1328,364,14636
952,-432,15140
1304,-1016,15676
148,-268,14704
528,-296,15252
1508,-88,15480
0,664,14412
812,-320,14924
708,248,15312
416,1008,14116
164,52,14816
260,936,14704
-68,1684,13800
1388,-136,15488
160,-940,15132
1036,420,14888
-532,-296,14228
156,-656,14904
1056,-84,14860
340,-600,14580
984,684,14180
292,336,14364
2488,-1812,15748
508,-432,14768
-152,140,14660
1468,-268,15716
528,400,15392
540,-264,14984
128,352,14740
656,-588,15404
228,716,14976
700,-40,14588
1056,-1360,15704
292,856,14352
980,-1128,14824
572,172,14980
304,-228,14964
1164,-188,16124
-412,-812,14684
996,-408,15740
924,-464,15604
324,-228,14832
2192,-944,15956
780,256,15124
648,-76,15120
348,540,14624
-192,788,14368
-108,-76,14488
288,132,14680
572,104,15204
448,312,14996
660,1284,14688
180,-148,15048
436,-188,15400
588,-588,15192
-1236,1628,14484
656,528,15608
1660,-304,16184
272,-336,15316
520,620,15480
224,564,14924
140,436,14684
248,300,14912
336,-96,14496
680,-568,14536
1232,-180,15868
2128,-1332,15980
24,812,14608
320,-720,14000
380,760,14020
1244,-1112,15592
1100,-1124,14860
404,80,14776
8,912,14924
188,652,15224
704,384,15256
388,156,14752
188,-352,15084
772,-164,15512
396,404,14404
912,-1452,15608
1064,-536,15616
1004,4,15624
1628,-656,15624
920,856,14888
324,-476,14612
1472,-736,15372
